F11,F12,F13,F21,F22,F23,F31,F32,F33,W
1.8492463,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.4018248
1.8542714,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.3842411
1.8592966,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.4481318
1.8643216,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.3966064
1.8693467,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.3361484
1.8743719,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.4841945
1.8793969,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.3366692
1.8844221,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.4859406
1.8894472,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.4730676
1.8944724,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.3691795
1.8994975,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.5063885
1.9045227,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.6665617
1.9095478,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.5882882
1.9145728,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.7492646
1.919598,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.6869084
1.9246231,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.5178386
1.9296482,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.5706365
1.9346733,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.8069143
1.9396985,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.7045903
1.9447236,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.7609808
1.9497488,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.6122241
1.9547739,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.610171
1.959799,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.6270406
1.9648242,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.7082847
1.9698492,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.8352908
1.9748744,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.8404121
1.9798995,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.8570462
1.9849246,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.8526862
1.9899497,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.9411713
1.9949749,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.8429736
2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.9920456
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.007439492
1.0,0.0050251256,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.10920973
1.0,0.010050251,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.039253186
1.0,0.015075376,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.05956622
1.0,0.020100502,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.06642935
1.0,0.025125628,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.120314576
1.0,0.030150753,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.061198514
1.0,0.03517588,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.054096986
1.0,0.040201005,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.1179169
1.0,0.04522613,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.01077231
1.0,0.050251257,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.097600125
1.0,0.055276383,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.085560106
1.0,0.060301505,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.1235473
1.0,0.06532663,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.100817464
1.0,0.07035176,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.046990838
